CentreCode,CityCode,CentreName
6036,612,iON Digital Zone iDZ Ramireddipalle
6037,612,Annamacharya Institute of Technology & Sciences Tirupathi
6038,612,SV College of Engineering-I
6039,612,SV College of Engineering-II
6040,612,SS Digital Zone Tirupati
6041,613,iON Digital Zone iDZ Kandrika (Centre I)
6042,613,iON Digital Zone iDZ Kandrika (Centre II)
6043,613,iON Digital Zone iDZ Donka Road (Centre I)
6044,613,iON Digital Zone iDZ Donka Road (Centre II)
6045,613,LakiReddy Bali Reddy College of Engineering
6046,613,Usharama College of Engineering & Technology
6047,613,Gudlavalleru Engineering College
6048,613,S.R.K Institute of Technology
6049,613,Potti Sriramulu Chalavadi Mallikarjuna Rao College of Engineering & Technology
6050,613,N.R.I Group of Colleges (Centre I)
6051,613,N.R.I Group of Colleges (Centre II)
6052,613,Velagapudi Ramakrishna Siddhartha Engineering College
6053,613,Kakaraparti Bhavanarayana KBN College
6054,614,Carmel College Of Engineering & Technology
6055,614,Sree Buddha College of Engineering
6056,615,iON Digital Zone iDZ Sreekandapuram
6057,615,iON Digital Zone iDZ Kannur
6058,615,Vimal Jyothi Engineering College
6059,615,Sree Narayana Guru College of Engineering & Technology
6060,616,North Malabar Institute Of Technology Kanhangad
6061,617,iON Digital Zone iDZ Aluva - Centre 1
6062,617,iON Digital Zone iDZ Aluva - Centre 2
6063,617,Adi Shankara Institute Of Engineering And Technology
6064,617,Sree Narayana Mangalam Institute of Management and Technology
6065,618,iON Digital Zone iDZ Kollam
6066,618,UKF College of Engineering & Technology
6067,618,MES Institute of Technology and Management
6068,619,iON Digital Zone iDZ Kottayam
6069,619,College of Engineering Kidangoor
6070,619,Mangalam college of engineering
6071,620,iON Digital Zone iDZ Kozhikode
6072,620,Mudra Institute Of Assessment
6073,620,M-Dasan Institute Of Technology
6074,620,Centos Assessment School
6075,621,MEA Engineering College
6076,621,MES College of Engineering
6077,621,Eranad Knowledge City Technical Campus
6078,622,Jawaharlal College Of Engineering and Technology
6079,622,Ammini College of Engineering
6080,622,St Marys Institute of Technology and Science
6081,623,iON Digital Zone iDZ Attingal - Centre 1
6082,623,iON Digital Zone iDZ Attingal - Centre 2
6083,623,Musaliar College Of Engineering Chirayinkeezhu
6084,623,All India Institute of Local Self-Government
6085,624,iON Digital Zone iDZ Thrissur
6086,624,Sahrdaya College of Engineering and Technology
6087,624,SCET-Sahrdaya College of Engineering and Technology
6088,624,Universal Engineering College
6089,624,Holy Grace Academy of Engineering
6090,624,Thejus Engineering College
6091,625,Manakula Vinayagar Institute of Technology
6092,625,Sri Manakula Vinayagar Engineering College
6093,625,Christ College of Engineering & Technology
6094,626,iON Digital Zone iDZ Kundrathur
6095,626,iON Digital Zone iDZ Kovilambakkam - Centre 1
6096,626,iON Digital Zone iDZ Kovilambakkam - Centre 2
6097,626,iON Digital Zone iDZ Kovilambakkam - Centre 3
6098,626,iON Digital Zone iDZ Manimangalam - Centre 1
6099,626,iON Digital Zone iDZ Manimangalam - Centre 2
6100,626,Aalim Muhammed Salegh College of Engineerings
6101,626,St. Peter's College of Engineering and Technology
6102,626,St. Peter's Institute of Higher Education and Research
6103,626,Loyola Institute of Technology
6104,627,iDZ Thondamuthur Coimbatore I - Centre 1
6105,627,iDZ Thondamuthur Coimbatore I - Centre 2
6106,627,iDZ Coimbatore II
6107,628,iDZ Digital Zone - Astinpatti
6108,629,Ion Digital Zone Sivathapuram
6109,629,Ion Digital Zone KIOT Campus
6110,630,IDZ -Trichy II
6111,630,IDZ -Siruganur
6112,631,iDZ Tirunelveli
6113,632,iON Digital Zone iDZ Old Alwal-I
6114,632,iON Digital Zone iDZ Old Alwal-II
6115,632,iON Digital Zone IDZ 1 Mallapur-I
6116,632,iON Digital Zone IDZ 1 Mallapur-II
6117,632,iON Digital Zone iDZ 2 Mallapur-I
6118,632,iON Digital Zone iDZ 2 Mallapur-II
6119,632,iON Digital Zone IDZ Karmanghat-I
6120,632,iON Digital Zone IDZ Karmanghat-II
6121,632,iON Digital Zone iDZ LB Nagar-I
6122,632,iON Digital Zone iDZ LB Nagar-II
6123,632,iON Digital Zone iDZ Arunodaya Nagar-I
6124,632,iON Digital Zone iDZ Arunodaya Nagar-II
6125,632,Sreenidhi Institute of Science and Technology - I
6126,632,Sreenidhi Institute of Science and Technology - II
6127,632,Sreyas Institute of Engineering and Technology Hyderabad-I
6128,632,Sreyas Institute of Engineering and Technology Hyderabad-II
6129,632,Surya Technologies - I
6130,632,Surya Technologies - II
6131,632,MSR IT Academy
6132,632,RAM IT Academy
6133,632,GITAM University - Hyderabad-I
6134,632,GITAM University - Hyderabad -II
6135,632,Vardhaman College of Engineering Autonomous
6136,632,Lords Institute of Engineering and Technology
6137,632,NodeCop Solutions
6138,632,Moksh Innovators India Private Limited
6139,632,BVRIT College of Engineering for Women
6140,632,VNR Vignana Jyothi Institute of Engineering and Technology
6141,632,C.M.R Institute of Technology
6142,632,C.M.R College of Engineering & Technology
6143,632,C.M.R Engineering College
6144,632,C.M.R Technical Campus
6145,632,MLR Institute of Technology
6146,632,Institute of Aeronautical Engineering
6147,632,Marri Laxman Reddy Institute of Technology & Management
6148,632,Mahatma Gandhi Institute of Technology
6149,632,J B Institute of Engineering & Technology
6150,632,Vidya Jyothi Institute of Technology
6151,632,Teegala Krishna Reddy Engg. College
6152,632,Vignana Bharathi Institute of Technology
6153,633,iON Digital Zone iDZ Ramakrishna Colony - I
6154,633,iON Digital Zone iDZ Ramakrishna Colony - II
6155,633,Vaageswari College of Engineering
6156,633,Sree Chaitanya College of Engineering
6157,634,Daripally Anantha Ramulu College of Engineering & Technology
6158,634,Khammam Institute of Technology & Sciences
6159,634,Bomma Institute of Technology and Science
6160,634,Swarna Bharathi Institute of Science & Technology
6161,634,Laqshya Institute of Technology & Sciences
6162,635,Jaya Prakash Narayan College of Engineering
6163,636,Vijay Rural Engineering College
6164,636,Kakatiya Institute Of Technology & Science For Women
6165,637,iON Digital Zone iDZ Yerragattugutta
6166,637,Vasishta Technologies
6167,637,Chaitanya Degree College & PG College Autonomous
6168,637,Kakatiya Institute of Technology and Science
6169,637,Jaya Institute of Technology and Science for Women
6170,637,Balaji Institute of Technology and Science
6171,637,Jayamukhi Institute of Technological Sciences
6172,637,Vaagdevi Degree & PG College
